,toxic,comment_text
68586,0,"""He shouldn't be able to just say that, that is terrible,"" Wilson said. ""This has become totally personal.""....she says, after listening in to and divulging details about one of the most sacred and personal phone calls on the planet...."
44774,0,"Maybe they could call themselves ""Social Justice Warriors"" that should make everyone happy. 
Let the haters begin, you know who you are.
They could have Hillary Clinton, Bernie Sanders or our  former President as the mascot."
65812,0,I am looking forward to the iPhone X model in an SE size / format next year.
89278,1,"MSW:   American nationalism is ""obnoxious,"" those who voted for Trump did so for the sake of American nationalism.   Therefore, they too are ""obnoxious.""  And the Trump victory is ""an indictment of American culture,"" meaning, again, that all who would vote for Trump are obnoxious & deplorable human beings.

But MSW, this is what you've been saying all year.  Did you learn nothing new in Rome?

You clearly haven't learned to fact-check, otherwise you'd know that Jimmy Breslin is still alive."
63057,0,"She apologized for the remark? It was a Clinton Presidency ""program"", a program which sent many Afican Americans to jail, an apology just doesn't work.

As far as the question I asked, I will answer for you-""pantsuit on fire"" is for women and LGBT rights-if it happens to be a election year, but in the off years she (Clinton FDN) is collecting millions from counties ( too many to list) that stone women to death for minuscule reasons, and prosecute/kill homosexuals for being different, I assume Arlene you are ok with this?

Instead of speaking against this and condemning these nations, Hilary, well let's just say she prefers to make bank ($$).

I'll vote with a very clear conscience, I hope you can do the same."
31324,0,"You have alternate facts. http://www.savemysweden.com/14-us-coalition-military-officers-captured-by-syrian-in-east-aleppo-bunker/

There are thousands of links out there regarding US and CIA operatives working with terrorists. In fact there are hundreds of pictures of US airdrops of supplies for ISIS.  http://www.cnn.com/2015/12/08/politics/amnesty-international-isis-weapons-u-s-/

Tulsi was correct in her assessment of what is going on in Syria."
32305,0,"""The United States and China will fight a war within the next 10 years over islands in the South China Sea, and “there’s no doubt about that”. At the same time, the US will be in another “major” war in the Middle East."" 
Steve Bannon made the above comment nine months ago. And he has a major voice in National Security in Trump's government. He sees no alternative to war. Period. 
Hopefully the toned-downed approach signals that Bannon is not being listened to. He's much more dangerous than Trump because he's not as stupid and certainly more evil."
94004,0,"We going to need more buildings like this, Homeless population rapidly growth almost every other month."
14844,0,"I look forward to a story where Ann explains who paid for her face.  Did she and her spouse go 50/50?  Whatever they paid, it was too much."
61460,0,Cory believes he will be the Colorado Reich minister in the Putin-citizens united regime.
91584,0,"This government is so economically clueless it's not even funny anymore.  First they lower the age, only in spite of Harper, then increase premiums because they realized it would go broke with a lower age, now want to increase the age again.  Lies and deciet, Liberals and their supporters #1 qualification!  Now he says; ""we need more people to join the work force"".  Yup, high unemployment, the young generation that won't work because they can't get a job in ""their field""; if there was one, a government that is driving business out of the country with high costs and taxes and a government that wants to ""phase out"" the industries that have provided 6 figure jobs for decades!  I wonder where this clown thinks they'll work?  Incredible!"
10862,0,"The truth of the matter is we simply can't keep cutting down forests.  There are precious few left in the lower states of USA and, frankly, around the world.  With a growing human population, we need to adapt by living in smaller homes made with reused and alternative materials.  Hemp is an excellent crop to grow for so many needed alternatives.  Triple cropping hemp with the building material, Hempcrete,  hemp oil to make alternatives to plastic, high protein edible seeds, and the fiber is also used for many products such as paper. 
We are in the midst of the sixth mass species extinction and global warming.   Today's RG article titled: ""World remains far off on emissions pledges"" by Brad Plumer and Nadja Popovich -Erik Solheim, head of the U.N. Environmental Program is quoted saying; ""One year after the Paris Agreement entered into force, we still find ourselves in a situation where we are not doing nearly enough to save hundreds of millions of people from a miserable future."""
95777,0,Well said Paul. You echo the sentiments of many concerned residents.
99510,0,The Readers Digest?
72216,0,"I don't know that this is exactly a ""left wing"" policy.  To the best of my knowledge the only political party in Canada that has this kind of policy as part of their platform is the Libertarian Party of Canada.

Libertarians aren't generally viewed as ""left wing"", though I suppose the whole ""left"" vs. ""right"" thing is, very literally, dumbing politics down to a 1-dimensional view of things."
93751,0,What happened to birth control?
82067,0,But he's never offered a lick of proof to support his position. Is your position that Trump is so great because he's a shape-shifting reptilian? Need proof.
34457,0,"Ms. Wente, you are wrong. It is, and always has been, the DUTY of our country's leader to articulate Canadian core values. Patterning our political activity and commentary à la Neville Chamberlain would be both cowardly and ineffective. Mr. Trudeau's words are far preferable - they uplift us and make us proud of who we are."
26504,0,"Nope, have you noticed how many goody two shoes know it all saints below eat up the President Trump bashing like mother's milk? You shouldn't even make a comment like you just made -- it will probably get removed anyway by the CCCP -- The Communistic Comment Conditioning Police"
51923,1,"All it proves is that our own education system that emphasizes self esteem and social engineering over math and skills, sucks."
27894,0,"That is what I thought.  If you don't show up for a flight, then you forfeit what was paid.   If for some reason sickness etc. that is what insurance is for."
45999,1,"Will all ""this pass"" before November 8, 2016?  

Or will the 'ignorant' and the 'cretins' vote before a 'more competent America' emerges?"
86582,0,That's what happens when you spend your time in an echo chamber.
83829,0,"Rand is the only doctor up there and thus he has a hell of a better perspective on what the country needs and doesn't than any of the other bozos looking at it. None of the others know what they are talking about or even dealing with. Paul has been in the trenches and knows what needs to be done to fix the healthcare mess.
Repubs and Dems need to recognize this fact and get out of Pauls way. Repeal Obamacare now. Then listen to Rand on how to make a healthcare bill work, design it, and then vote it into law."
99781,1,"All I know is that I was watching coverage on BBC and it was 4 hours after the attack - they interviewed a number of Muslims criticizing the police for not declaring it a ""terrorist attack"" - the police were still investigating and it was and declared later. But they seemed to be a little quick in the criticizing. I hadn't heard that complaint in other coverage - actually too much coverage and far too many incidents of radial Muslims driving people over..... That's all......"
7372,0,"""2) What exactly does ""otherwise"" cover in the law...does ""otherwise"" cover everything. ""

Wow. Not sure I've ever met anyone who didn't know the meaning of the word otherwise. It means the government can't compel any speech, whether political or not. Now are you going to ask me the meany of ""any"" and ""not""?

""3) You told me two days ago the Baker cannot be compelled to make a political statement.""

No, I said political OR OTHERWISE. How many times will that have to be said for you to grasp it? The government cannot compel ANY speech. Is that clear enough for you?

""that is why a black baker cannot discriminate against a skinhead""

Wrong. Skinhead is not a class of person."
19387,0,Weren't the Broncos shopping Aqib Talib last summer......he's probably the next to go.
757,0,Does Amazon know the cost of electricity in Ontario?
66535,0,"So, if the judges had sided with Wielechowski, would you have the same opinion?  When the State runs out of money you'll be standing there wondering what happened.  You'll probably want one more PFD so you can buy a plane ticket out of State after there's no more free money."
57427,0,"I also agree! If CBS made this show to appeal to only us locals here in Hawaii, the series would have ended due to poor ratings after a few episodes! We need to understand the big picture here not just appeasing Hawaii born actors!"
21290,0,So sad. My thoughts and prayers are with the families of the victims and the people of Fernie.
6478,0,"Klastri, the judge was correct in ruling that Trump had no authority to attach new conditions to federal spending, because that would be changing laws passed by Congress.  However, nothing in the Constitution prevents congress from making funding conditional upon cities and states meeting criteria specified in the law, which could include cooperating with the Federal government in the enforcement of all Federal laws.  If you know of a provision in the Constitution that says otherwise, please share it with me and others.  Incidentally, the Emergency Highway Energy Conservation Act, signed into law by President Nixon in 1974, established 55 MPH as the maximum speed limit, later changed to 65 MPH, and required sates to comply as a condition for receiving federal highway funds.  Nothing unconstitutional about it.   The national speed limit was repealed by Congress in 1995."
19080,0,"Sorry, the 50/50 Blend S/B 22.55% for 1-Yr (still 12.53% for 3-Yr annual)"
33446,0,"That's not what ""fruit from a poisonous tree"" is. That's not how criminal investigations work. None of what you've written is how any of this works."
19637,0,"I live in North York, the area  with the largest number of new homes in Toronto, and the $2 million+ homes I canvassed during the last federal election all had either residents not eligible to vote or very recently eligible to vote."
49784,0,"Senators who opposed ending the ivory trade that fuels terrorism and organized crime: Roz Baker (maui), Kalani English (maui), Lorraine Inouye (Big isle), and Kidani, Kim, Slom and Taniguchi (oahu)."
6167,0,"AT: The Logan Act specifically addresses civilians interfering in diplomatic affairs.  At the time of Mr. Flynn's conversation(s) he had no official role in government and was not authorized by the Obama Administration to discuss the just-enacted sanctions with Russian government officials.  He was a 'civilian' just like you or I am.  The only difference is he, without authorization of the then-President engaged in diplomatic discussions.  We don't know, and likely may never know, if he had President-elect Trump's approval for those conversations......whether he did or didn't doesn't make it any less a violation of the DolanAct.  The only difference is that if Trump authorized the discussion of sanctions, he was just a guilty of meddling in diplomatic affairs as was Flynn.

Sometimes I'm not sure if you're simply uninformed or intentionally obtuse.    regards, Gary Crum"
55470,1,You sound like a wealthy white southern plantation owner telling his black slaves that they should be happy with the fine life they were provided.  Do you think any of those slave holders wished on their death bed that they could have done the backbreaking work on the fields themselves?
79655,1,Tell that to sexual predator and cheat extraordinaire Trump.
29031,0,"I agree with the simplicity -- we have two holdings. VDY for Canadian dividend paying stocks and VFV for the S & P 500 (listed on the TSX to reduce the conversion charges). 
The intent was to have about 50 50 but with the Trump presidency meaning bad news for Canada, coupled with a complete lack of confidence in Canadian leaders (except Wall), my Canadian holdings are now 1/7 or thereabouts. When our loonie falls below 70 cents -- and it will! -- I will increase the VDY component.
This strategy has done very well to date."
29659,1,I'm sure the extra IED's and rocket propelled grenades will come in handy in the Jihad against all you infidels/kafirs.  Idiots lead by an idiot in chief ( but groovy socks )
70520,0,"Every politician would throw everybody under the bus to stay in office. Gay, straight, trans, black, white, purple - they don't really care about anyone as long as they get to stay at that trough. No term limits, special retirements, special health insurance the list goes on and on. Do you really think they care about YOU?"
35863,0,"Not sure what is going on in the NFL.  Denver looked unpracticed, that's easy.  The QB situation is bothering me.  Siemian and receivers were hurt by dirty hits and no calls were made.  I mean they flag Von for having some fun after gently taking down a QB (who was smiling about it) but they don't flag the guy who drives Rodgers into the ground and ends his career?  Even the helmet to helmet hits were called back this weekend.  Back to the sport of CTE I guess."
16121,1,"However, most ANC MP's are actually sucking the hind teat. They are abused as the rest of us."
91486,0,"I bought a #58 jersey this week. When I saw that poor decision b Miller to kneel, I turned off the TV and returned the jersey.
You don't have to love everything abut the country, but it's a pretty good place to be, and too many have died for our freedoms."
85733,0,"""Keeping the state and our economy on an even keel"" by messing with income sources is probably similar to deficit spending to ""grow our economy.""  

I say it's all about a mandatory balanced budged.  Period.  Need more income, then do go to a state income tax, sales tax, etc..  Real Alaskans probably like the kind of Alaska where government stays out of our lives and leaves Alaska resources to own own extraction methods.

University of Alaska should not be a poor imitation of Outside state colleges that hire instructors from outside and don't meet needs of the state."
98033,0,"Trump and his entire administration need daily lessons where they must repeat the phrase ""Loose Lips Sink Ships"" one-hundred times."
19496,0,"Look for the company to move wholesale to China.

Not that it doesn't happen when a US company buys a Canadian company, but it isn't always obvious at the outset."
68768,0,Looks to me the world is improving.  Powers that be used to burn people at stake for speaking the truth.
31980,0,"Hopefully when all is said and done, Mexico will stop supporting/encouraging illegal border crossings into the United States. The problem resides with folks in the USA hiring illegal aliens and providing social benefits for illegals on our side of the boarder and the Mexican government's support for the illegal immigration crossings on the other side.  The system in place that we have had over the past few decades is a failure."
92991,0,He is doing what he said that he would do.  Pretty different I guess.
47557,0,"I called it! The Jefferson County Republican Party's vice-chairman, Steve Dorman, is going to court to block the will of the people.

I heard that his actions have already knocked the issue off of November's ballot and that the City of Lakewood is going to have to call a special election along with its incumbent costs.

Too bad Steve's builder friends aren't covering any of the costs that we citizens are having to pay.

Thanks, Steve. You're one swell guy."
59292,0,"This was the no-brainer of no-brainers, Therrien had to go.  It was over for him.  No idea if Julien works out, skeptical right now, Bergevin went with the guy that somebody like Bergevin would go with.  Muller was there, and though he's not French-Canadian, he's 1 of les gars, '93 championship.  No Randy Cunneyworth he.

So now, we will see."
36122,0,"Ah, a biblical literalist!  This message was delivered to the Jewish people---who DID kneel before all of their civil rulers.  It was part of the culture, their culture.  It is not ours."
88116,0,"Chris I would be interested to know if you worked for the Liberal Party or some associated lobby group.

I think most posters to the GM have observed you unswerving support for our politicians no matter how damming the news."
76943,0,"Right on, both Nigeria and Yemen are also known as places of terrorism and corruption"
29777,0,"Bring any book you want! Schools shouldn't ever ban books. 
Leave that for the churches..."
96451,1,"It's very simple. Try not to be an offensive jerk with respect to culture. If you are, then apologize and move on. That's it. It is not a life sentence. 
You would think people are getting banned from America, or not being allowed to get married, or not having any clean running water the way these discussions go... oh wait... nevermind."
67107,0,"It was just one example.  My point, in case you missed it, is that we should be able to do SOMETHING to prevent these events.  Just as we should be able to do SOMETHING to take better medical care of our citizens.  But we cower to the NRA and big private insurance monopolies and big pharma.  Other countries (MOST other countries) have figured these things out, but we can't?"
89407,0,"A fun read and a great coincidence.
S. MacDonald"
86906,0,"Well I hope that I never live to see the day of another election like this. Two unsatisfactory candidates in my books. Cant stand either one, so you have to vote for the lesser of two evils. I trust Crooked Hillary even less than Trump. Whomever wins I suspect the America and the freedoms and constitutional rights I fought for as a US Marine will all go out the window faster than the wind off the Knik Glacier. Hopefully this also means I wont have to read another one sided political article written by Catherine. I'm pretty sure freedom of the press will be one of the first liberties that will be censored."
60156,0,""" Going forward, there’s the expectation he’ll side with Senate leadership ""... is Captain Obvious writing for the Post now ?"
96321,1,"[A statement of fact is a statement of fact...The statement about DACA not conferring legal status was correct.]
Spare me your baloney.  ""DACA did not confer legal status on them"" IS A FACT.
https://www.uscis.gov/archive/consideration-deferred-action-childhood-arrivals-daca
""Deferred action is a use of prosecutorial discretion to defer removal action against an individual for a certain period of time. Deferred action does not provide lawful status.""
The question was not whether it was correct but whether it was A FACT.
WHY DID YOU NOT ANSWER THE QUESTION AS IT WAS ASKED?
Because you didn't answer the previous question and you intentionally fabricated baloney and mischaracterize other people's words as ""Progressive talking points"" I doubt you'll answer question as presented either.  But simple courtesy and intellectual honesty requires me to give you the chance to prove you are not just a partisan liar.  Go ahead and prove me wrong.  Answer this question as it was presented."
43022,0,"Phrogge,
In the context of Bill's article, I would add this.  Many of us in the laity have lived the rapidly increasing pace of evolution in the job market.  The things I did fresh out of college, are no longer done.  Many of the jobs I once held no longer exist.  The telecom industry where I worked for 23 years doesn't look anything at all like it once did, to the point that both AT&T and Verizon are getting out of the landline business. After telecom, I went to law school, and found work in the oil and gas industry. The legal profession is rapidly changing, and the oil and gas industry has sure taken it's licks..

This is the world where I live, and to which I've had to adapt. For the priests, from what I can see,  housekeepers are (for the most part) a thing of the past, as are multi-priest parishes, etc., but what priests do remains pretty much the same. I think this too is part of that gap, and so it may be time to rethink nature of the priesthood. Change is needed and  natural..."
11148,0,And all are foods happily eaten by most people in a mainstream North American diet...Hurrah!
42583,1,"Content please Chad. What did the bill actually say? Not what Ashley Lukens says. Someone I find habitually not credible. As to pesticide reporting, for example, part of the current regulations regarding pesticides is that farmers not only need to be licensed, but report everything in the bill. The U. S. Department of Agriculture collects the data, and reports it in detail for the 19 largest farming states. It is available on request. That those who wrote the bill are either so clueless that they don't know this, or so dishonest, they ignore it, should be enough to kill the bill."
53097,0,"Who are ""they"", exactly?  People who need water, food, air....oh, do you mean EVERYONE? Remember, folks, there are NO jobs on a DEAD planet!"
70600,0,"Nice of you to conveniently forget that deputies' orders have limits. If a cop ordered you to shine his shoes, you'd ask him what color shoe shine."
58464,0,and all that you spew will be ofset many times over by the huge increase in income they will earn in the usa
55280,1,please make the hyperbolic rubbish stop
5542,0,"What a brutal week for Sheer and it's only Wednesday.  How much damage will he do by Saturday?  Totally busted for his fundraising, which he initially lied about, refusing to dump the highly racist Beyak and it took him two days to respond to the sexist Ritz scandal.  This guy is in way, way over his head.  Huge fail!"
55650,1,I have known many priests who had secret male lovers. Many. Wake up and smell the hypocrisy.
58523,0,Where are you getting 47 from?  There are 60
91673,0,import tons of people to vote Liberal seems to be Trudeau's move
64888,0,First of many milestones no doubt. A little historical context would be nice
22082,1,Agreed. His hypocrisy is breathtaking - rivaled only by his arrogance and capacity for self congratulation.
25932,0,"Off-topic, I know, but the accompanying picture was so simian that there's really only 1 word to use for Trump - orangutan or ""orange man""."
84272,0,"When health care premiums are included as taxes, the actual tax burden for TAs and similar low-income working people is close to 60%. It's much better to place this burden on those who can pay, investors making a profit (capital gains), instead of on the working poor."
17660,0,"You forget that that was a time that promised a brave new world,  when the Arab Spring gave promise that in Arab countries at least despots such as Assad were to be swept away and replaced by western style democracy,  That's why  western democracies supported destabilizing  and supporting rebel groups and his  eventual eliminating.      It didn't help that he cracked down with ferocity street demonstration demanding a more open government.  Now we realize it was a foolish dream and Arab countries with their tribalism can never have democracy and need a strong man. And it didn't help to have the Russians helping him drop barrel bombs etc on men women and children .
We may have been naive but the intentions were good al;though it didn't help having an impotent UN ans US President."
57865,0,"The US is facing a crisis of economic self-segregation.  Children who grow up in schools with poverty rates over 50% have significant achievement gaps compared to those who don't.  Diluting poverty in a school means reducing the poverty rate by adjusting school boundaries, placing attractive choice programs that will draw students from wealthier areas, or taking other steps that will ensure that the educational environment is less segregated than the neighborhood the school is in.  To oversimplify, if your parents didn't go to college, you might still go to college if you know some people who did.  If your parents didn't go to college, and no one else in your schools parents' did either, you're not likely to go.  
https://www.washingtonpost.com/news/education/wp/2016/05/17/on-the-anniversary-of-brown-v-board-new-evidence-that-u-s-schools-are-resegregating/"
25947,0,"Daniel, as a history fan I was intrigued by your example of the Golden Gate Bridge.  I agree with you in principle that  it's good to have the most feasible local government carry out a project rather  than a larger distant one.  Trouble is, we can't always find a local government able and willing to carry out needed projects.
This great bridge project almost didn't succeed because  of opposition from the usual suspects:
""A formidable group of civic leaders objected to the financing of the span through the proposed bond measure placed on the ballot for November 1930. They formed a Taxpayers Committee Against the Golden Gate Bonds to fight passage of the bond measure.... "" http://goldengatebridge.org/research/BondMeasure.php
Let us also remember the Feds have carried out many important projects here, going back to our pioneer ""Military Wagon Roads,""  BPA and I-5.  
(But our brave  Oregon Territorial government built Territorial Highway in the 1850s!)"
28200,0,"Maybe Butts can hire Deb Mathews, Liz Sandals along with Brad Duguid and do to Canada what he did to Ontario."
54595,0,Bernie Sanders for President!
12272,0,Where's your link?
63895,0,"If a company doesn't 'believe' in mental health issues and decides not to cover it is that OK? No company should be able to pick and choose what treatment they will and will not cover. Birth control should be covered like any other medication regardless of the reason for use. It's prescribed, it's covered."
14810,0,"You can't pay between 98 cents and 28 cents per KWH, sell it for 18 cents per KWH and claim it has no effect. As I recall about 4% of Ontario energy production is classed as green, however it accounts for some 20% of production costs. Extrapolate that? Either arithmetic is not your strong point or you are really Kathleen Wynne"
30813,0,JZ:  How is rounding up ILLEGAL immigrants fascism?
23223,0,"This is exactly why in Honolulu no one can get ahead and there can be no competition. Uber coming into the picture was just another option to get from point A to Point B and again here comes the issue of making it fair for everybody. why must it always be fair, people who use the Taxi will always use one and having another option is always great but to put the uber and lyft driver needing to meet the same requirements is just another way of killing the competition, along with people trying to make a little extra income. there is and will always be enough business to go around for everyone. Mayor you fail again. Aloha"
94762,0,"Fred, will you please tell me what ""OTAs"" are?  Or somebody else?"
29835,0,"""Meanwhile, his defenders urge us to take him seriously, just not literally.""  I take him literally (on policy, not anything to do with his strengths and weaknesses) and very seriously.

Like a bull in a china shop, he is going to make a terrible mess of things."
63536,0,"While the idealists argue, little children  are discriminated against and embarrassed at many schools. They are treated differently/separated from their peers by teachers who are trying to adhere to the demands of religious parents who don't want their children exposed to religions other than their own. The children can not possibly undertand why they are treated differently..at one time it was because of skin colour, now it is because of parental belief!  
The matter should be resolved by thinking of the children, not the parents. The only solution is to ban all religion in all schools except as far as teaching children about different beliefs or lack thereof."
11989,0,"""Such a parade might provoke violent reactions, justifying denial."" Do it, have a ""tilted""
parade! ""...would there be vigorous displays of righteous indignation along with noisy outbursts of hate and anger?"" Want a permit? You'll have to behave yourself Ron and make sure your people are fit to walk a mile in the sun without blowing a gasket. Too bad you can't enjoy a parade full of joy and laughter without turning it into an us vs them."
23805,0,"Are you fed up with PUD and the corrupt commissioners raises rates every year?
I know I am and during this election there is NO way to get rid of Will Purser who is doing a very crappy job as commissioner and his time to RETIRE HAS COME!!!!!!!!!!!!!!!!!!!
Want to save money?
then go to this site now
owntheswitch.com/noelle"
33410,0,"With this rail fiasco, median home price at nearly $800k and a crumbling infrastructure, Honolulu is being decimated by this horrible mayor. How do we get rid of him now and bring in leaders who that actually care for the residents of this city instead of lining their pockets with moola."
49286,0,Thoroughly Catholic teaching.
80739,1,Pathetic.
80767,0,"All you play is games with you misinformation. Im fine and well in West Denver. Im more concerned about you. Paid for that high end education and still couldnt manage to buy yourself a clue or a thought thats your own. You should probably just mute me because Im not going to quit calling you out on your flacid and misguided ideals. Oh yeah, so you dont spin it, its not ok to grab anyone without permission.

That guy is guilty as charged right?"
27351,1,"Isn't it clear after Comey's testimony before Congress, the Russian collusion probe notwithstanding, that Comey had to be fired?  He demonstrated with crystal clarity that he is first class intriguer and double talker, a subordinate profoundly hostile toward his boss.  Maybe worst of all, he is a sanctimonious ass.  Their mistake was not firing him much sooner."
9627,0,"Yes, Ursua being out for the remainder of the season is indeed a huge loss for the UH Warriors football team, UH fans and of course, and to Ursua himself.  UH is so fortunate to have you on the team and at least you still have a few more seasons remaining.  As roughrider has said, we pray that your path to back to full-health goes well and  that you come back stronger. Blessings to you and your family."
55331,0,How many Family Court cases have been stayed because of delay?
66949,0,"I didn't say anything about American Airlines specifically, did I? It seems systemic and widespread, does it not? After all, we had that poor Vietnamese-American doctor assaulted on that United flight in April, and plenty of other circumstances involving domestic and international travel, degradement of all sorts of groups and individuals, too. The hazing of international academic exchange is especially hard to escape notice. It's so very dysfunctional and it calls attention to itself. There's been this gradual effort to poison the well of travel, and it's really starting to become egregious."
83492,0,"Read a map. Prudoe Bay is 1900km from the North Pole so that might be the reason for the difference. What you are not doing is acknowledging global warming because you don't want to.

And that -6 for Prudoe Bay is well below normal for the middle of winter according to climate records."
15806,1,"Don't be silly. The Supreme court has made far worse decisions. Oh and just because you don't like or agree with the decision, doesn't make it bad. It was actually a good decision from a legal, constitutional and rights perspective."
53872,0,"(Cont) I like very very respectfully getting to know personally these young folks....and understanding their realities....(that's why I want an independent pollster like PEW with no Catholic ""skin in the game"" to really do some research).

My own personal experience with these guys is encouraging..they are far better educated than we were at the same time...they are often very principled relative to their  values and career choices, they have been raised on a diet of community service through their school systems and are far more generous in those terms than we were at the same stage....

They, of course, are our future......

As to the religious thing...I'm reminded of the ""anonymous Christians"" deal....folks who treat others very well, choose to serve in their career choices,  are decent and fair in family issues...whose to say that these are not all sacraments....?

Are they the fullness of the faith no...are they a lot closer to it than many ""practitioners""....I think so."
4435,0,"It destroys the ""independent"" of the independent counsel.  All those who are saying, I see no problem with Comey and Mueller being BF's wouldn't be saying that if they were for the President.  Why have the investigation tainted? There are plenty of people that are not associated with Comey that should handle this.  If this is perceived as rigged, the results will be immaterial."
53211,0,"Jack, leave your money in equities, please!

https://www.bloomberg.com/news/videos/b/368abb74-7a9e-4e96-9a2b-a20ab8fed2f7

https://banyanhill.com/exclusives/80-stock-market-crash-strike-2017-economist-warns/

http://www.businessinsider.com/a-big-market-correction-is-inevitable-a-wealth-adviser-explains-how-to-prepare-2017-4

http://fortune.com/2017/03/09/stock-market-sell-bubble/"
74736,0,Teresa of Avila levitated. She speaks of it and her sisters witnessed it.
7379,0,"I assume you read the article which said they could only find 2 examples of anyone from the US ever being granted refugee status

So technically its possible, but circumstances have to be really extreme to succeed.  These folks most certainly won't."
28940,0,"Nice deflect, but we are talking about the current issue of whether or not our liar in chief has tapes.  Wait until Flynn spills the beans for a less jail sentence.  I am sure that Flynn hold the keys to the kingdom."
10817,0,I often wonder at times if there was a way to make a bee farm in alaska?That would be neet to have fresh honey for tee or coffee.
48088,0,"I find it curious when there's an arrest or a story about someone who 'finally' got a place at a rest stop, that they're from somewhere else. Over and over and over again. We do offer a lot of services and tolerate panhandling and loitering. Word gets out: hence the travelers and professional freeloaders."
